mine_id,sample_id,latitude,longitude,depth_m,lithology,mn_grade,assay_confidence,lineament_distance,terrain_score,spectral_signal,prospectivity_label,depth_zone,grade_anomaly,lineament_proximity_score
balaghat,EXP-BAL-0001,21.79823,80.20774,255,Basement Gneiss,26.0,0.75,1444.6,0.7,0.37,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-5.7,0.278
balaghat,EXP-BAL-0002,21.82281,80.19026,248,Basement Gneiss,30.2,0.77,712.6,0.71,0.494,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-1.5,0.644
balaghat,EXP-BAL-0003,21.79471,80.18644,161,Mansar Gondite Horizon,40.7,0.96,968.9,0.7,0.849,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,9.0,0.516
balaghat,EXP-BAL-0004,21.79782,80.183,272,Basement Gneiss,25.0,0.73,950.4,0.85,0.426,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-6.7,0.525
balaghat,EXP-BAL-0005,21.80988,80.16873,45,Basement Gneiss,26.5,0.75,968.1,0.68,0.386,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-0_Overburden,-5.2,0.516
balaghat,EXP-BAL-0006,21.80151,80.1663,180,Mansar Gondite Horizon,44.6,0.98,327.5,0.75,0.945,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,12.9,0.836
balaghat,EXP-BAL-0007,21.80684,80.16944,330,Basement Gneiss,25.3,0.72,1237.7,0.95,0.379,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-6.4,0.381
balaghat,EXP-BAL-0008,21.7893,80.16246,127,Quartzite Schist,36.2,0.85,247.5,0.92,0.648,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,4.5,0.876
balaghat,EXP-BAL-0009,21.79355,80.18733,69,Basement Gneiss,26.7,0.76,1013.0,0.89,0.426,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-5.0,0.494
balaghat,EXP-BAL-0010,21.7832,80.17812,61,Basement Gneiss,25.6,0.73,1236.3,0.76,0.389,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-6.1,0.382
balaghat,EXP-BAL-0011,21.79505,80.17646,254,Basement Gneiss,31.8,0.76,79.4,0.81,0.583,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,0.1,0.96
