date,mine_id,mine_name,planned_tonnage,actual_tonnage,ore_grade_mn,recovery_rate,crusher_utilization,fleet_availability,operating_hours,downtime_hours,rainfall_mm,shortfall_tonnes,shortfall_percentage,shortfall_event,production_trend_7d,production_trend_30d,shortfall_rate,target_deviation,rolling_downtime_7d
2025-01-01,balaghat,Balaghat Deep Shaft,6200,5082,44.4,85.5,96.6,88.7,23.3,0.7,0.0,1118,18.0,1,5082.0,5082.0,18.0,-0.1803,0.7
2025-01-02,balaghat,Balaghat Deep Shaft,6200,5232,44.5,87.3,95.2,90.3,23.2,0.8,0.0,968,15.6,1,5157.0,5157.0,16.63,-0.1561,1.5
2025-01-03,balaghat,Balaghat Deep Shaft,6200,5359,43.3,86.4,94.7,93.5,23.3,0.7,0.0,841,13.6,1,5224.3,5224.3,15.32,-0.1356,2.2
2025-01-04,balaghat,Balaghat Deep Shaft,6200,4949,43.3,85.6,93.8,91.7,22.6,1.4,0.0,1251,20.2,1,5155.5,5155.5,17.1,-0.2018,3.6
2025-01-05,balaghat,Balaghat Deep Shaft,6200,5093,44.8,87.0,92.0,90.0,23.4,0.6,0.0,1107,17.9,1,5143.0,5143.0,17.36,-0.1785,4.2
2025-01-06,balaghat,Balaghat Deep Shaft,6200,5164,43.5,85.9,91.7,93.6,23.0,1.0,0.0,1036,16.7,1,5146.5,5146.5,17.16,-0.1671,5.2
2025-01-07,balaghat,Balaghat Deep Shaft,6200,4929,44.7,87.7,91.4,92.0,22.1,1.9,0.0,1271,20.5,1,5115.4,5115.4,18.13,-0.205,7.1
2025-01-08,balaghat,Balaghat Deep Shaft,6200,4873,43.8,86.9,90.1,87.8,22.3,1.7,0.0,1327,21.4,1,5085.6,5085.1,19.04,-0.214,8.1
2025-01-09,balaghat,Balaghat Deep Shaft,6200,5189,44.7,88.1,87.2,93.0,22.4,1.6,0.0,1011,16.3,1,5079.4,5096.7,18.3,-0.1631,8.9
2025-01-10,balaghat,Balaghat Deep Shaft,6200,5233,44.8,87.4,95.3,92.3,23.0,1.0,0.0,967,15.6,1,5061.4,5110.3,17.58,-0.156,9.2
2025-01-11,balaghat,Balaghat Deep Shaft,6200,5337,44.4,86.0,94.0,93.6,22.8,1.2,0.0,863,13.9,1,5116.9,5130.9,16.62,-0.1392,9.0
2025-01-12,balaghat,Balaghat Deep Shaft,6200,5099,45.1,88.5,91.2,91.4,22.7,1.3,0.0,1101,17.8,1,5117.7,5128.2,16.93,-0.1776,9.7
2025-01-13,balaghat,Balaghat Deep Shaft,6200,4966,44.8,87.6,87.3,88.0,22.7,1.3,0.0,1234,19.9,1,5089.4,5115.8,17.69,-0.199,10.0
2025-01-14,balaghat,Balaghat Deep Shaft,6200,4979,43.9,85.9,85.6,89.5,22.1,1.9,0.0,1221,19.7,1,5096.6,5106.0,18.2,-0.1969,10.0
2025-01-15,balaghat,Balaghat Deep Shaft,6200,5175,44.3,87.7,90.0,94.9,22.2,1.8,0.0,1025,16.5,1,5139.7,5110.6,17.77,-0.1653,10.1
2025-01-16,balaghat,Balaghat Deep Shaft,6200,5272,44.4,86.9,93.8,92.2,23.5,0.5,0.0,928,15.0,1,5151.6,5120.7,17.07,-0.1497,9.0
2025-01-17,balaghat,Balaghat Deep Shaft,6200,5168,44.1,85.8,91.7,92.6,23.0,1.0,0.0,1032,16.6,1,5142.3,5123.5,16.95,-0.1665,9.0
2025-01-18,balaghat,Balaghat Deep Shaft,6200,4931,44.2,86.2,96.0,86.7,23.1,0.9,0.0,1269,20.5,1,5084.3,5112.8,17.84,-0.2047,8.7
2025-01-19,balaghat,Balaghat Deep Shaft,6200,5464,44.0,86.4,95.1,92.7,23.1,0.9,0.0,736,11.9,1,5136.4,5131.3,16.35,-0.1187,8.3
2025-01-20,balaghat,Balaghat Deep Shaft,6200,5481,44.7,87.2,90.4,94.4,23.1,0.9,0.0,719,11.6,1,5210.0,5148.8,15.16,-0.116,7.9
2025-01-21,balaghat,Balaghat Deep Shaft,6200,4788,44.2,87.4,89.9,89.3,22.2,1.8,0.0,1412,22.8,1,5182.7,5131.6,17.07,-0.2277,7.8
