date,mine_id,latitude,longitude,ndvi,ndwi,ndmi,evi,surface_change_score,vegetation_change,water_change,disturbed_area_score,terrain_slope,elevation,land_surface_change_confidence,ndvi_change,ndwi_change,vegetation_loss,water_expansion
2025-01-01,balaghat,21.8045,80.1852,0.565,-0.256,0.267,0.493,0.135,0.03,-0.006,0.234,14.5,320,0.896,0.0,0.0,0.0,0.0
2025-01-07,balaghat,21.8045,80.1852,0.555,-0.21,0.284,0.46,0.144,-0.011,0.04,0.244,14.5,320,0.898,-0.01,0.046,0.01,0.046
2025-01-13,balaghat,21.8045,80.1852,0.551,-0.327,0.222,0.434,0.244,-0.013,-0.077,0.276,14.5,320,0.941,-0.004,-0.117,0.004,0.0
2025-01-19,balaghat,21.8045,80.1852,0.528,-0.28,0.23,0.435,0.255,-0.045,-0.03,0.286,14.5,320,0.959,-0.023,0.047,0.023,0.047
2025-01-25,balaghat,21.8045,80.1852,0.54,-0.307,0.224,0.448,0.143,-0.0,-0.057,0.266,14.5,320,0.941,0.012,-0.027,0.0,0.0
2025-01-31,balaghat,21.8045,80.1852,0.517,-0.212,0.256,0.445,0.159,-0.016,0.038,0.277,14.5,320,0.924,-0.023,0.095,0.023,0.095
2025-02-06,balaghat,21.8045,80.1852,0.532,-0.292,0.226,0.469,0.217,-0.028,-0.042,0.299,14.5,320,0.911,0.015,-0.08,0.0,0.0
2025-02-12,balaghat,21.8045,80.1852,0.612,-0.202,0.327,0.525,0.172,0.013,0.048,0.296,14.5,320,0.972,0.08,0.09,0.0,0.09
2025-02-18,balaghat,21.8045,80.1852,0.523,-0.262,0.235,0.415,0.11,-0.02,-0.012,0.288,14.5,320,0.963,-0.089,-0.06,0.089,0.0
2025-02-24,balaghat,21.8045,80.1852,0.483,-0.285,0.196,0.388,0.1,-0.003,-0.035,0.293,14.5,320,0.96,-0.04,-0.023,0.04,0.0
2025-03-02,balaghat,21.8045,80.1852,0.5,-0.226,0.237,0.446,0.108,0.012,0.024,0.302,14.5,320,0.957,0.017,0.059,0.0,0.059
2025-03-08,balaghat,21.8045,80.1852,0.511,-0.275,0.22,0.404,0.122,0.015,-0.025,0.313,14.5,320,0.886,0.011,-0.049,0.0,0.0
2025-03-14,balaghat,21.8045,80.1852,0.481,-0.298,0.188,0.425,0.196,0.019,-0.048,0.339,14.5,320,0.969,-0.03,-0.023,0.03,0.0
2025-03-20,balaghat,21.8045,80.1852,0.48,-0.253,0.209,0.427,0.05,0.007,-0.003,0.31,14.5,320,0.936,-0.001,0.045,0.001,0.045
2025-03-26,balaghat,21.8045,80.1852,0.507,-0.187,0.261,0.379,0.186,0.007,0.063,0.352,14.5,320,0.883,0.027,0.066,0.0,0.066
2025-04-01,balaghat,21.8045,80.1852,0.462,-0.208,0.219,0.411,0.145,-0.01,0.042,0.349,14.5,320,0.905,-0.045,-0.021,0.045,0.0
2025-04-07,balaghat,21.8045,80.1852,0.546,-0.271,0.247,0.448,0.136,-0.021,-0.021,0.354,14.5,320,0.973,0.084,-0.063,0.0,0.0
2025-04-13,balaghat,21.8045,80.1852,0.514,-0.204,0.258,0.442,0.135,-0.005,0.046,0.361,14.5,320,0.899,-0.032,0.067,0.032,0.067
2025-04-19,balaghat,21.8045,80.1852,0.499,-0.211,0.244,0.41,0.174,-0.019,0.039,0.378,14.5,320,0.903,-0.015,-0.007,0.015,0.0
2025-04-25,balaghat,21.8045,80.1852,0.531,-0.262,0.241,0.398,0.054,-0.006,-0.012,0.356,14.5,320,0.902,0.032,-0.051,0.0,0.0
2025-05-01,balaghat,21.8045,80.1852,0.48,-0.282,0.195,0.405,0.1,-0.005,-0.032,0.375,14.5,320,0.932,-0.051,-0.02,0.051,0.0
2025-05-07,balaghat,21.8045,80.1852,0.459,-0.194,0.224,0.39,0.328,-0.047,0.056,0.44,14.5,320,0.91,-0.021,0.088,0.021,0.088
2025-05-13,balaghat,21.8045,80.1852,0.486,-0.151,0.265,0.409,0.284,-0.009,0.099,0.436,14.5,320,0.894,0.027,0.043,0.0,0.043
2025-05-19,balaghat,21.8045,80.1852,0.491,-0.25,0.219,0.433,0.152,-0.038,0.0,0.411,14.5,320,0.956,0.005,-0.099,0.0,0.0
2025-05-25,balaghat,21.8045,80.1852,0.502,-0.286,0.208,0.455,0.266,-0.044,-0.036,0.446,14.5,320,0.943,0.011,-0.036,0.0,0.0
2025-05-31,balaghat,21.8045,80.1852,0.449,-0.247,0.191,0.372,0.05,0.002,0.003,0.4,14.5,320,0.899,-0.053,0.039,0.053,0.039
2025-06-06,balaghat,21.8045,80.1852,0.475,-0.27,0.197,0.373,0.114,-0.016,-0.02,0.424,14.5,320,0.945,0.026,-0.023,0.0,0.0
