timestamp,mine_id,equipment_id,equipment_type,operating_hours,engine_temperature,vibration_rms,hydraulic_pressure,fuel_rate,utilization,availability,maintenance_age,fault_code,failure_event,vibration_zscore,temperature_anomaly,utilization_change,equipment_health_score
2025-06-01 00:00:00,balaghat,CR-BAL-01,Primary Jaw Crusher,3324,92.1,3.46,167.2,0.0,71.0,79.1,324,NONE,0,0.04,5.8,0.0,55.5
2025-06-01 00:00:00,ukwa,CR-UKW-01,Primary Jaw Crusher,973,82.9,2.74,183.7,0.0,80.7,87.6,473,NONE,0,-1.15,-3.4,0.0,87.8
2025-06-01 00:00:00,tirodi,CR-TIR-01,Primary Jaw Crusher,226,81.7,2.34,182.2,0.0,80.7,90.6,226,NONE,0,-1.81,-4.6,0.0,97.2
2025-06-01 00:00:00,gumgaon,CR-GUM-01,Primary Jaw Crusher,3148,86.6,3.5,160.6,0.0,71.4,79.6,148,NONE,0,0.11,0.3,0.0,59.6
2025-06-01 00:00:00,dongri-buzurg,CR-DON-01,Primary Jaw Crusher,2118,81.5,3.0,170.8,0.0,74.8,83.6,118,NONE,0,-0.72,-4.8,0.0,73.5
2025-06-01 02:00:00,tirodi,DP-TIR-01,Heavy Haul Truck (35T),967,86.7,2.22,180.0,42.5,76.3,88.7,467,NONE,0,-1.15,-5.4,0.0,87.9
2025-06-01 02:00:00,ukwa,DP-UKW-01,Heavy Haul Truck (35T),3131,91.1,2.91,174.2,44.5,74.8,80.8,131,NONE,0,-0.0,-1.0,0.0,60.9
2025-06-01 02:00:00,dongri-buzurg,DP-DON-01,Heavy Haul Truck (35T),855,83.9,2.74,185.2,43.0,75.5,88.0,355,NONE,0,-0.28,-8.2,0.0,89.3
2025-06-01 02:00:00,balaghat,DP-BAL-01,Heavy Haul Truck (35T),3659,94.5,3.0,158.8,46.9,71.7,79.0,159,NONE,0,0.15,2.4,0.0,51.9
2025-06-01 02:00:00,gumgaon,DP-GUM-01,Heavy Haul Truck (35T),3770,91.5,3.11,162.4,45.9,74.6,78.5,270,NONE,0,0.33,-0.6,0.0,50.1
2025-06-01 04:00:00,balaghat,DP-BAL-02,Heavy Haul Truck (35T),1014,92.1,2.19,167.3,38.3,75.4,88.6,14,NONE,0,-1.2,-0.0,0.0,87.3
2025-06-01 04:00:00,ukwa,DP-UKW-02,Heavy Haul Truck (35T),3919,98.4,3.49,165.6,47.4,72.2,77.3,419,WARN_THERMAL_DRIFT,0,0.96,6.3,0.0,40.0
2025-06-01 04:00:00,tirodi,DP-TIR-02,Heavy Haul Truck (35T),921,90.3,2.38,172.5,41.8,76.2,88.5,421,NONE,0,-0.88,-1.8,0.0,88.5
2025-06-01 04:00:00,dongri-buzurg,DP-DON-02,Heavy Haul Truck (35T),471,85.2,1.83,170.1,38.7,82.3,90.9,471,NONE,0,-1.8,-6.9,0.0,94.1
