mine_id,sample_id,latitude,longitude,depth_m,lithology,mn_grade,assay_confidence,lineament_distance,terrain_score,spectral_signal,prospectivity_label,depth_zone,grade_anomaly,lineament_proximity_score
tirodi,EXP-TIR-0044,21.70177,79.69457,181,Basement Gneiss,26.6,0.74,442.4,0.86,0.479,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,-1.3,0.779
balaghat,EXP-BAL-0073,21.81726,80.19122,246,Basement Gneiss,31.8,0.78,187.5,0.65,0.561,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,0.1,0.906
balaghat,EXP-BAL-0053,21.81704,80.19793,57,Basement Gneiss,27.3,0.74,801.4,0.92,0.426,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-4.4,0.599
tirodi,EXP-TIR-0032,21.7108,79.69102,59,Mansar Gondite Horizon,33.1,0.91,1108.3,0.93,0.674,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,5.2,0.446
dongri-buzurg,EXP-DON-0014,21.56551,79.71507,110,Quartzite Schist,41.5,0.85,74.2,0.66,0.699,HIGH PROSPECT (UNFC-111 Proved),Zone-2_GonditeReef,9.6,0.963
balaghat,EXP-BAL-0100,21.8167,80.16188,204,Mansar Gondite Horizon,39.8,0.93,861.8,0.76,0.769,MEDIUM PROSPECT (UNFC-122 Probable),Zone-2_GonditeReef,8.1,0.569
dongri-buzurg,EXP-DON-0055,21.55625,79.72346,328,Basement Gneiss,21.4,0.72,1644.7,0.96,0.366,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-10.5,0.178
dongri-buzurg,EXP-DON-0010,21.55138,79.7053,327,Basement Gneiss,26.3,0.76,621.7,0.68,0.433,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-5.6,0.689
tirodi,EXP-TIR-0081,21.68788,79.69123,211,Basement Gneiss,22.2,0.73,1416.4,0.93,0.341,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-2_GonditeReef,-5.7,0.292
balaghat,EXP-BAL-0028,21.79071,80.19581,99,Basement Gneiss,29.2,0.79,522.5,0.86,0.553,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,-2.5,0.739
ukwa,EXP-UKW-0004,21.96218,80.47889,246,Basement Gneiss,25.7,0.73,594.9,0.78,0.39,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-3_Breccia,-5.8,0.703
tirodi,EXP-TIR-0064,21.67427,79.69079,69,Mansar Gondite Horizon,34.1,0.92,1168.9,0.84,0.778,MEDIUM PROSPECT (UNFC-122 Probable),Zone-1_Schist,6.2,0.416
balaghat,EXP-BAL-0096,21.80565,80.17814,301,Basement Gneiss,27.0,0.74,542.5,0.79,0.488,MEDIUM PROSPECT (UNFC-122 Probable),Zone-4_Basement,-4.7,0.729
balaghat,EXP-BAL-0015,21.81117,80.20377,278,Basement Gneiss,27.3,0.74,704.8,0.95,0.486,MEDIUM PROSPECT (UNFC-122 Probable),Zone-3_Breccia,-4.4,0.648
gumgaon,EXP-GUM-0092,21.4059,79.001,295,Basement Gneiss,23.5,0.75,1275.5,0.9,0.384,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-4_Basement,-5.7,0.362
dongri-buzurg,EXP-DON-0071,21.55002,79.73172,34,Mansar Gondite Horizon,37.2,0.92,1737.9,0.94,0.712,MEDIUM PROSPECT (UNFC-122 Probable),Zone-0_Overburden,5.3,0.131
balaghat,EXP-BAL-0092,21.78209,80.17703,67,Basement Gneiss,23.2,0.75,1463.5,0.73,0.387,LOW PROSPECT (UNFC-333 Reconnaissance),Zone-1_Schist,-8.5,0.268
