date,mine_id,latitude,longitude,ndvi,ndwi,ndmi,evi,surface_change_score,vegetation_change,water_change,disturbed_area_score,terrain_slope,elevation,land_surface_change_confidence,ndvi_change,ndwi_change,vegetation_loss,water_expansion
2025-01-01,balaghat,21.8045,80.1852,0.565,-0.256,0.267,0.493,0.135,0.03,-0.006,0.234,14.5,320,0.896,0.0,0.0,0.0,0.0
2025-01-01,tirodi,21.688,79.706,0.534,-0.241,0.253,0.454,0.118,0.024,0.009,0.23,18.0,340,0.928,0.0,0.0,0.0,0.0
2025-01-01,gumgaon,21.385,79.012,0.575,-0.338,0.233,0.493,0.28,0.015,-0.088,0.27,8.5,290,0.892,0.0,0.0,0.0,0.0
2025-01-01,dongri-buzurg,21.5432,79.7214,0.545,-0.226,0.268,0.469,0.108,-0.012,0.024,0.227,22.0,380,0.887,0.0,0.0,0.0,0.0
2025-01-01,ukwa,21.967,80.467,0.531,-0.303,0.22,0.484,0.213,0.02,-0.053,0.253,11.0,360,0.942,0.0,0.0,0.0,0.0
2025-01-07,balaghat,21.8045,80.1852,0.555,-0.21,0.284,0.46,0.144,-0.011,0.04,0.244,14.5,320,0.898,-0.01,0.046,0.01,0.046
2025-01-07,tirodi,21.688,79.706,0.583,-0.236,0.29,0.522,0.127,-0.023,0.014,0.239,18.0,340,0.937,0.049,0.005,0.0,0.005
2025-01-07,gumgaon,21.385,79.012,0.552,-0.227,0.273,0.452,0.094,-0.009,0.023,0.231,8.5,290,0.959,-0.023,0.111,0.023,0.111
2025-01-07,dongri-buzurg,21.5432,79.7214,0.574,-0.269,0.267,0.475,0.08,-0.008,-0.019,0.228,22.0,380,0.95,0.029,-0.043,0.0,0.0
2025-01-07,ukwa,21.967,80.467,0.48,-0.277,0.197,0.409,0.156,0.022,-0.027,0.247,11.0,360,0.928,-0.051,0.026,0.051,0.026
2025-01-13,balaghat,21.8045,80.1852,0.551,-0.327,0.222,0.434,0.244,-0.013,-0.077,0.276,14.5,320,0.941,-0.004,-0.117,0.004,0.0
2025-01-13,gumgaon,21.385,79.012,0.563,-0.159,0.315,0.482,0.244,0.004,0.091,0.276,8.5,290,0.895,0.011,0.068,0.0,0.068
2025-01-13,dongri-buzurg,21.5432,79.7214,0.571,-0.238,0.281,0.502,0.074,0.011,0.012,0.234,22.0,380,0.908,-0.003,0.031,0.003,0.031
2025-01-13,ukwa,21.967,80.467,0.502,-0.316,0.193,0.447,0.353,0.047,-0.066,0.303,11.0,360,0.941,0.022,-0.039,0.0,0.0
2025-01-13,tirodi,21.688,79.706,0.562,-0.264,0.261,0.49,0.119,0.021,-0.014,0.245,18.0,340,0.965,-0.021,-0.028,0.021,0.0
2025-01-19,gumgaon,21.385,79.012,0.508,-0.283,0.214,0.462,0.107,0.006,-0.033,0.249,8.5,290,0.968,-0.055,-0.124,0.055,0.0
2025-01-19,tirodi,21.688,79.706,0.553,-0.221,0.277,0.48,0.132,0.015,0.029,0.256,18.0,340,0.948,-0.009,0.043,0.009,0.043
2025-01-19,ukwa,21.967,80.467,0.561,-0.227,0.279,0.472,0.081,0.006,0.023,0.243,11.0,360,0.973,0.059,0.089,0.0,0.089
2025-01-19,dongri-buzurg,21.5432,79.7214,0.558,-0.278,0.252,0.439,0.174,-0.026,-0.028,0.266,22.0,380,0.958,-0.013,-0.04,0.013,0.0
2025-01-19,balaghat,21.8045,80.1852,0.528,-0.28,0.23,0.435,0.255,-0.045,-0.03,0.286,14.5,320,0.959,-0.023,0.047,0.023,0.047
2025-01-25,tirodi,21.688,79.706,0.579,-0.224,0.293,0.489,0.065,0.0,0.026,0.246,18.0,340,0.914,0.026,-0.003,0.0,0.0
2025-01-25,gumgaon,21.385,79.012,0.569,-0.27,0.263,0.478,0.138,-0.022,-0.02,0.264,8.5,290,0.96,0.061,0.013,0.0,0.013
2025-01-25,dongri-buzurg,21.5432,79.7214,0.554,-0.258,0.259,0.467,0.096,0.019,-0.008,0.254,22.0,380,0.955,-0.004,0.02,0.004,0.02
2025-01-25,balaghat,21.8045,80.1852,0.54,-0.307,0.224,0.448,0.143,-0.0,-0.057,0.266,14.5,320,0.941,0.012,-0.027,0.0,0.0
2025-01-25,ukwa,21.967,80.467,0.515,-0.261,0.23,0.404,0.05,-0.005,-0.011,0.243,11.0,360,0.908,-0.046,-0.034,0.046,0.0
2025-01-31,dongri-buzurg,21.5432,79.7214,0.523,-0.24,0.246,0.445,0.085,0.015,0.01,0.259,22.0,380,0.963,-0.031,0.018,0.031,0.018
2025-01-31,tirodi,21.688,79.706,0.514,-0.23,0.245,0.445,0.07,0.005,0.02,0.255,18.0,340,0.931,-0.065,-0.006,0.065,0.0
2025-01-31,gumgaon,21.385,79.012,0.522,-0.272,0.229,0.463,0.119,0.016,-0.022,0.267,8.5,290,0.944,-0.047,-0.002,0.047,0.0
2025-01-31,balaghat,21.8045,80.1852,0.517,-0.212,0.256,0.445,0.159,-0.016,0.038,0.277,14.5,320,0.924,-0.023,0.095,0.023,0.095
2025-01-31,ukwa,21.967,80.467,0.564,-0.275,0.257,0.441,0.082,0.005,-0.025,0.258,11.0,360,0.941,0.049,-0.014,0.0,0.0
2025-02-06,ukwa,21.967,80.467,0.502,-0.212,0.245,0.407,0.127,-0.008,0.038,0.277,11.0,360,0.898,-0.062,0.063,0.062,0.063
2025-02-06,tirodi,21.688,79.706,0.538,-0.248,0.253,0.43,0.05,0.011,0.002,0.258,18.0,340,0.943,0.024,-0.018,0.0,0.0
2025-02-06,dongri-buzurg,21.5432,79.7214,0.552,-0.262,0.255,0.476,0.058,-0.007,-0.012,0.26,22.0,380,0.975,0.029,-0.022,0.0,0.0
2025-02-06,balaghat,21.8045,80.1852,0.532,-0.292,0.226,0.469,0.217,-0.028,-0.042,0.299,14.5,320,0.911,0.015,-0.08,0.0,0.0
2025-02-06,gumgaon,21.385,79.012,0.544,-0.175,0.293,0.447,0.304,-0.029,0.075,0.321,8.5,290,0.898,0.022,0.097,0.0,0.097
2025-02-12,balaghat,21.8045,80.1852,0.612,-0.202,0.327,0.525,0.172,0.013,0.048,0.296,14.5,320,0.972,0.08,0.09,0.0,0.09
2025-02-12,dongri-buzurg,21.5432,79.7214,0.586,-0.207,0.307,0.462,0.163,-0.014,0.043,0.293,22.0,380,0.913,0.034,0.055,0.0,0.055
2025-02-12,ukwa,21.967,80.467,0.5,-0.228,0.236,0.462,0.055,-0.0,0.022,0.266,11.0,360,0.891,-0.002,-0.016,0.002,0.0
2025-02-12,gumgaon,21.385,79.012,0.534,-0.217,0.265,0.436,0.286,-0.051,0.033,0.324,8.5,290,0.975,-0.01,-0.042,0.01,0.0
2025-02-12,tirodi,21.688,79.706,0.574,-0.241,0.281,0.493,0.074,-0.013,0.009,0.271,18.0,340,0.934,0.036,0.007,0.0,0.007
2025-02-18,gumgaon,21.385,79.012,0.534,-0.295,0.226,0.503,0.124,-0.003,-0.045,0.291,8.5,290,0.882,0.0,-0.078,0.0,0.0
2025-02-18,balaghat,21.8045,80.1852,0.523,-0.262,0.235,0.415,0.11,-0.02,-0.012,0.288,14.5,320,0.963,-0.089,-0.06,0.089,0.0
2025-02-18,tirodi,21.688,79.706,0.523,-0.239,0.247,0.457,0.05,-0.002,0.011,0.272,18.0,340,0.89,-0.051,0.002,0.051,0.002
2025-02-18,dongri-buzurg,21.5432,79.7214,0.561,-0.218,0.284,0.489,0.108,0.007,0.032,0.287,22.0,380,0.889,-0.025,-0.011,0.025,0.0
2025-02-18,ukwa,21.967,80.467,0.478,-0.232,0.219,0.406,0.069,0.006,0.018,0.277,11.0,360,0.961,-0.022,-0.004,0.022,0.0
2025-02-24,gumgaon,21.385,79.012,0.576,-0.226,0.29,0.494,0.072,0.003,0.024,0.286,8.5,290,0.895,0.042,0.069,0.0,0.069
2025-02-24,balaghat,21.8045,80.1852,0.483,-0.285,0.196,0.388,0.1,-0.003,-0.035,0.293,14.5,320,0.96,-0.04,-0.023,0.04,0.0
2025-02-24,tirodi,21.688,79.706,0.528,-0.234,0.253,0.445,0.096,-0.014,0.016,0.292,18.0,340,0.951,0.005,0.005,0.0,0.005
2025-02-24,ukwa,21.967,80.467,0.506,-0.247,0.231,0.44,0.05,-0.003,0.003,0.28,11.0,360,0.94,0.028,-0.015,0.0,0.0
2025-02-24,dongri-buzurg,21.5432,79.7214,0.502,-0.25,0.226,0.385,0.116,0.029,0.0,0.297,22.0,380,0.969,-0.059,-0.032,0.059,0.0
2025-03-02,tirodi,21.688,79.706,0.524,-0.278,0.228,0.469,0.218,-0.037,-0.028,0.33,18.0,340,0.885,-0.004,-0.044,0.004,0.0
2025-03-02,gumgaon,21.385,79.012,0.576,-0.196,0.305,0.521,0.203,-0.017,0.054,0.326,8.5,290,0.973,0.0,0.03,0.0,0.03
2025-03-02,dongri-buzurg,21.5432,79.7214,0.495,-0.263,0.215,0.429,0.104,-0.018,-0.013,0.301,22.0,380,0.942,-0.007,-0.013,0.007,0.0
2025-03-02,ukwa,21.967,80.467,0.521,-0.248,0.241,0.429,0.085,-0.02,0.002,0.296,11.0,360,0.941,0.015,-0.001,0.0,0.0
