date,mine_id,rainfall_mm,rainfall_7d_mm,rainfall_anomaly,water_risk_index,soil_saturation_index,monsoon_intensity,cumulative_monsoon_rain
2025-01-01,balaghat,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-01,dongri-buzurg,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-01,ukwa,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-01,tirodi,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-01,gumgaon,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-02,balaghat,1.1,1.1,-0.69,0.034,0.05,0.0,1.1
2025-01-02,ukwa,2.3,2.3,-0.12,0.039,0.05,0.0,2.3
2025-01-02,dongri-buzurg,0.3,0.3,-0.89,0.031,0.05,0.0,0.3
2025-01-02,tirodi,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-02,gumgaon,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-03,ukwa,0.6,2.9,-0.77,0.032,0.05,0.0,2.9
2025-01-03,tirodi,0.8,0.8,-0.67,0.033,0.05,0.0,0.8
2025-01-03,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-03,balaghat,0.0,1.1,-1.0,0.03,0.05,0.0,1.1
2025-01-03,gumgaon,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-04,balaghat,0.0,1.1,-1.0,0.03,0.05,0.0,1.1
2025-01-04,ukwa,1.1,4.0,-0.58,0.034,0.05,0.0,4.0
2025-01-04,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-04,gumgaon,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-04,tirodi,0.0,0.8,-1.0,0.03,0.05,0.0,0.8
2025-01-05,tirodi,0.0,0.8,-1.0,0.03,0.05,0.0,0.8
2025-01-05,ukwa,0.0,4.0,-1.0,0.03,0.05,0.0,4.0
2025-01-05,balaghat,0.0,1.1,-1.0,0.03,0.05,0.0,1.1
2025-01-05,gumgaon,0.0,0.0,-1.0,0.03,0.05,0.0,0.0
2025-01-05,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-06,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-06,ukwa,0.0,4.0,-1.0,0.03,0.05,0.0,4.0
2025-01-06,balaghat,0.0,1.1,-1.0,0.03,0.05,0.0,1.1
2025-01-06,gumgaon,0.3,0.3,-0.9,0.031,0.05,0.0,0.3
2025-01-06,tirodi,0.0,0.8,-1.0,0.03,0.05,0.0,0.8
2025-01-07,tirodi,0.0,0.8,-1.0,0.03,0.05,0.0,0.8
2025-01-07,gumgaon,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-07,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-07,balaghat,0.7,1.8,-0.81,0.033,0.05,0.0,1.8
2025-01-07,ukwa,0.0,4.0,-1.0,0.03,0.05,0.0,4.0
2025-01-08,ukwa,0.0,4.0,-1.0,0.03,0.05,0.0,4.0
2025-01-08,gumgaon,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-08,dongri-buzurg,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-08,balaghat,0.0,1.8,-1.0,0.03,0.05,0.0,1.8
2025-01-08,tirodi,1.3,2.1,-0.46,0.035,0.05,0.0,2.1
2025-01-09,gumgaon,0.0,0.3,-1.0,0.03,0.05,0.0,0.3
2025-01-09,balaghat,0.0,0.7,-1.0,0.03,0.05,0.0,1.8
2025-01-09,tirodi,0.0,2.1,-1.0,0.03,0.05,0.0,2.1
2025-01-09,ukwa,0.0,1.7,-1.0,0.03,0.05,0.0,4.0
2025-01-09,dongri-buzurg,0.0,0.0,-1.0,0.03,0.05,0.0,0.3
2025-01-10,tirodi,0.4,1.7,-0.83,0.032,0.05,0.0,2.5
2025-01-10,gumgaon,2.7,3.0,-0.1,0.041,0.05,0.0,3.0
2025-01-10,dongri-buzurg,0.0,0.0,-1.0,0.03,0.05,0.0,0.3
2025-01-10,balaghat,1.4,2.1,-0.61,0.036,0.05,0.0,3.2
2025-01-10,ukwa,0.0,1.1,-1.0,0.03,0.05,0.0,4.0
2025-01-11,balaghat,0.0,2.1,-1.0,0.03,0.05,0.0,3.2
2025-01-11,ukwa,0.0,0.0,-1.0,0.03,0.05,0.0,4.0
2025-01-11,gumgaon,0.0,3.0,-1.0,0.03,0.05,0.0,3.0
2025-01-11,tirodi,0.9,2.6,-0.62,0.034,0.05,0.0,3.4
2025-01-11,dongri-buzurg,1.4,1.4,-0.5,0.036,0.05,0.0,1.7
2025-01-12,dongri-buzurg,0.1,1.5,-0.96,0.03,0.05,0.0,1.8
2025-01-12,balaghat,0.0,2.1,-1.0,0.03,0.05,0.0,3.2
2025-01-12,ukwa,0.0,0.0,-1.0,0.03,0.05,0.0,4.0
2025-01-12,tirodi,0.0,2.6,-1.0,0.03,0.05,0.0,3.4
2025-01-12,gumgaon,0.8,3.8,-0.73,0.033,0.05,0.0,3.8
2025-01-13,balaghat,0.0,2.1,-1.0,0.03,0.05,0.0,3.2
2025-01-13,ukwa,0.0,0.0,-1.0,0.03,0.05,0.0,4.0
2025-01-13,dongri-buzurg,0.0,1.5,-1.0,0.03,0.05,0.0,1.8
2025-01-13,tirodi,0.0,2.6,-1.0,0.03,0.05,0.0,3.4
2025-01-13,gumgaon,0.5,4.0,-0.83,0.032,0.05,0.0,4.3
2025-01-14,ukwa,0.0,0.0,-1.0,0.03,0.05,0.0,4.0
2025-01-14,dongri-buzurg,0.2,1.7,-0.93,0.031,0.05,0.0,2.0
2025-01-14,tirodi,0.4,3.0,-0.83,0.032,0.05,0.0,3.8
