mine_id,sample_id,x,y,elevation,depth_m,lithology,mn_grade,fe_grade,density,geological_confidence
balaghat,GEO-BAL-0001,80.19872,21.81146,177.8,140,Gondite Manganese Reef Horizon,45.6,4.8,3.44,0.97
balaghat,GEO-BAL-0002,80.19144,21.79012,102.8,216,Gondite Manganese Reef Horizon,43.3,4.8,3.61,0.93
balaghat,GEO-BAL-0003,80.17894,21.80786,160.1,159,Gondite Manganese Reef Horizon,47.7,5.1,3.72,0.96
balaghat,GEO-BAL-0004,80.18563,21.80727,239.2,81,Mansar Quartz-Mica Schist,24.4,5.8,2.83,0.87
balaghat,GEO-BAL-0005,80.19445,21.79864,-17.4,338,Tirodi Crystalline Gneiss Basement,18.4,8.5,2.65,0.67
balaghat,GEO-BAL-0006,80.19748,21.79726,291.5,26,Surface Lateritic Overburden,18.9,8.1,2.62,0.68
balaghat,GEO-BAL-0007,80.19345,21.81768,-18.6,339,Tirodi Crystalline Gneiss Basement,20.3,10.2,2.64,0.63
balaghat,GEO-BAL-0008,80.17996,21.80116,291.5,30,Surface Lateritic Overburden,17.0,7.6,2.51,0.73
balaghat,GEO-BAL-0009,80.19427,21.79174,259.2,62,Mansar Quartz-Mica Schist,25.9,7.0,3.11,0.76
balaghat,GEO-BAL-0010,80.17368,21.81539,182.0,135,Gondite Manganese Reef Horizon,45.5,4.6,3.62,0.91
balaghat,GEO-BAL-0011,80.18933,21.81612,58.9,259,Hydrothermal Manganiferous Breccia,28.4,7.4,3.38,0.78
balaghat,GEO-BAL-0012,80.18501,21.80518,46.2,273,Hydrothermal Manganiferous Breccia,28.1,6.0,3.02,0.8
balaghat,GEO-BAL-0013,80.18546,21.81673,198.9,120,Gondite Manganese Reef Horizon,39.7,5.8,3.56,0.89
balaghat,GEO-BAL-0014,80.17504,21.81739,209.0,112,Gondite Manganese Reef Horizon,41.7,6.0,3.96,0.9
balaghat,GEO-BAL-0015,80.18638,21.81372,5.4,314,Tirodi Crystalline Gneiss Basement,20.0,7.4,2.69,0.66
balaghat,GEO-BAL-0016,80.19602,21.78971,25.7,289,Hydrothermal Manganiferous Breccia,28.5,6.3,3.06,0.75
balaghat,GEO-BAL-0017,80.1799,21.80506,-11.9,330,Tirodi Crystalline Gneiss Basement,20.9,10.4,2.98,0.64
balaghat,GEO-BAL-0018,80.17923,21.79805,139.2,181,Gondite Manganese Reef Horizon,49.1,5.4,3.44,0.91
balaghat,GEO-BAL-0019,80.17739,21.79385,1.7,319,Tirodi Crystalline Gneiss Basement,19.2,7.8,2.87,0.71
balaghat,GEO-BAL-0020,80.19205,21.80053,228.8,94,Mansar Quartz-Mica Schist,27.0,6.6,2.84,0.86
balaghat,GEO-BAL-0021,80.1758,21.79072,201.4,122,Gondite Manganese Reef Horizon,42.8,4.5,3.76,0.9
balaghat,GEO-BAL-0022,80.17543,21.81023,90.2,231,Hydrothermal Manganiferous Breccia,30.3,6.1,3.17,0.72
balaghat,GEO-BAL-0023,80.19652,21.79724,-1.9,324,Tirodi Crystalline Gneiss Basement,19.8,8.9,2.81,0.64
balaghat,GEO-BAL-0024,80.19712,21.81651,271.1,46,Mansar Quartz-Mica Schist,26.2,6.2,3.09,0.87
balaghat,GEO-BAL-0025,80.1936,21.80876,8.5,312,Tirodi Crystalline Gneiss Basement,20.2,7.0,2.64,0.7
balaghat,GEO-BAL-0026,80.17502,21.80596,306.1,16,Surface Lateritic Overburden,19.2,7.2,2.68,0.69
balaghat,GEO-BAL-0027,80.19259,21.80899,196.8,124,Gondite Manganese Reef Horizon,43.2,5.5,3.47,0.92
balaghat,GEO-BAL-0028,80.17752,21.81869,218.8,103,Mansar Quartz-Mica Schist,25.5,6.8,3.12,0.82
balaghat,GEO-BAL-0029,80.18498,21.79536,110.1,208,Gondite Manganese Reef Horizon,46.8,4.5,3.85,0.9
balaghat,GEO-BAL-0030,80.19882,21.81695,-10.2,330,Tirodi Crystalline Gneiss Basement,20.1,10.4,2.99,0.73
balaghat,GEO-BAL-0031,80.18175,21.81503,205.1,113,Gondite Manganese Reef Horizon,39.9,5.4,4.06,0.95
balaghat,GEO-BAL-0032,80.17312,21.80795,117.1,205,Gondite Manganese Reef Horizon,46.2,5.8,3.89,0.95
balaghat,GEO-BAL-0033,80.17901,21.81378,185.6,135,Gondite Manganese Reef Horizon,44.5,6.1,3.76,0.93
balaghat,GEO-BAL-0034,80.1897,21.81056,38.5,282,Hydrothermal Manganiferous Breccia,28.3,6.5,3.19,0.71
balaghat,GEO-BAL-0035,80.17128,21.80347,108.4,208,Gondite Manganese Reef Horizon,46.0,5.5,3.42,0.88
balaghat,GEO-BAL-0036,80.18101,21.79331,33.1,290,Hydrothermal Manganiferous Breccia,28.2,6.3,3.31,0.71
balaghat,GEO-BAL-0037,80.18614,21.80572,290.7,32,Surface Lateritic Overburden,18.6,9.4,2.61,0.7
balaghat,GEO-BAL-0038,80.17832,21.80267,37.5,281,Hydrothermal Manganiferous Breccia,30.1,6.2,3.08,0.74
balaghat,GEO-BAL-0039,80.19164,21.80931,122.8,198,Gondite Manganese Reef Horizon,49.5,5.5,3.69,0.9
balaghat,GEO-BAL-0040,80.19294,21.78993,185.5,134,Gondite Manganese Reef Horizon,46.2,4.7,3.74,0.93
balaghat,GEO-BAL-0041,80.18322,21.80146,250.1,73,Mansar Quartz-Mica Schist,26.5,5.6,2.95,0.83
balaghat,GEO-BAL-0042,80.19589,21.80926,136.6,183,Gondite Manganese Reef Horizon,49.5,5.5,4.06,0.94
balaghat,GEO-BAL-0043,80.1895,21.80325,176.4,145,Gondite Manganese Reef Horizon,46.3,5.2,4.07,0.97
balaghat,GEO-BAL-0044,80.17228,21.79252,239.0,80,Mansar Quartz-Mica Schist,25.3,6.1,3.14,0.75
balaghat,GEO-BAL-0045,80.17866,21.79304,34.9,287,Hydrothermal Manganiferous Breccia,29.8,7.7,3.37,0.82
balaghat,GEO-BAL-0046,80.17552,21.81202,207.4,109,Mansar Quartz-Mica Schist,24.7,7.1,2.94,0.87
balaghat,GEO-BAL-0047,80.18307,21.81203,17.2,302,Tirodi Crystalline Gneiss Basement,19.5,10.2,2.8,0.72
balaghat,GEO-BAL-0048,80.19707,21.80118,197.5,122,Gondite Manganese Reef Horizon,41.0,6.1,4.07,0.94
balaghat,GEO-BAL-0049,80.18365,21.7983,96.4,226,Hydrothermal Manganiferous Breccia,29.7,7.5,3.4,0.82
balaghat,GEO-BAL-0050,80.18503,21.79123,270.8,45,Mansar Quartz-Mica Schist,26.9,7.3,2.94,0.77
balaghat,GEO-BAL-0051,80.19305,21.80805,257.1,62,Mansar Quartz-Mica Schist,25.1,7.1,3.08,0.76
