date,mine_id,mine_name,planned_tonnage,actual_tonnage,ore_grade_mn,recovery_rate,crusher_utilization,fleet_availability,operating_hours,downtime_hours,rainfall_mm,shortfall_tonnes,shortfall_percentage,shortfall_event
2025-01-01,balaghat,Balaghat Deep Shaft,6200,5082,44.4,85.5,96.6,88.7,23.3,0.7,0.0,1118,18.0,1
2025-01-02,balaghat,Balaghat Deep Shaft,6200,5232,44.5,87.3,95.2,90.3,23.2,0.8,0.0,968,15.6,1
2025-01-03,balaghat,Balaghat Deep Shaft,6200,5359,43.3,86.4,94.7,93.5,23.3,0.7,0.0,841,13.6,1
2025-01-04,balaghat,Balaghat Deep Shaft,6200,4949,43.3,85.6,93.8,91.7,22.6,1.4,0.0,1251,20.2,1
2025-01-05,balaghat,Balaghat Deep Shaft,6200,5093,44.8,87.0,92.0,90.0,23.4,0.6,0.0,1107,17.9,1
2025-01-06,balaghat,Balaghat Deep Shaft,6200,5164,43.5,85.9,91.7,93.6,23.0,1.0,0.0,1036,16.7,1
2025-01-07,balaghat,Balaghat Deep Shaft,6200,4929,44.7,87.7,91.4,92.0,22.1,1.9,0.0,1271,20.5,1
2025-01-08,balaghat,Balaghat Deep Shaft,6200,4873,43.8,86.9,90.1,87.8,22.3,1.7,0.0,1327,21.4,1
2025-01-09,balaghat,Balaghat Deep Shaft,6200,5189,44.7,88.1,87.2,93.0,22.4,1.6,0.0,1011,16.3,1
2025-01-10,balaghat,Balaghat Deep Shaft,6200,5233,44.8,87.4,95.3,92.3,23.0,1.0,0.0,967,15.6,1
2025-01-11,balaghat,Balaghat Deep Shaft,6200,5337,44.4,86.0,94.0,93.6,22.8,1.2,0.0,863,13.9,1
2025-01-12,balaghat,Balaghat Deep Shaft,6200,5099,45.1,88.5,91.2,91.4,22.7,1.3,0.0,1101,17.8,1
2025-01-13,balaghat,Balaghat Deep Shaft,6200,4966,44.8,87.6,87.3,88.0,22.7,1.3,0.0,1234,19.9,1
2025-01-14,balaghat,Balaghat Deep Shaft,6200,4979,43.9,85.9,85.6,89.5,22.1,1.9,0.0,1221,19.7,1
2025-01-15,balaghat,Balaghat Deep Shaft,6200,5175,44.3,87.7,90.0,94.9,22.2,1.8,0.0,1025,16.5,1
2025-01-16,balaghat,Balaghat Deep Shaft,6200,5272,44.4,86.9,93.8,92.2,23.5,0.5,0.0,928,15.0,1
2025-01-17,balaghat,Balaghat Deep Shaft,6200,5168,44.1,85.8,91.7,92.6,23.0,1.0,0.0,1032,16.6,1
2025-01-18,balaghat,Balaghat Deep Shaft,6200,4931,44.2,86.2,96.0,86.7,23.1,0.9,0.0,1269,20.5,1
2025-01-19,balaghat,Balaghat Deep Shaft,6200,5464,44.0,86.4,95.1,92.7,23.1,0.9,0.0,736,11.9,1
2025-01-20,balaghat,Balaghat Deep Shaft,6200,5481,44.7,87.2,90.4,94.4,23.1,0.9,0.0,719,11.6,1
2025-01-21,balaghat,Balaghat Deep Shaft,6200,4788,44.2,87.4,89.9,89.3,22.2,1.8,0.0,1412,22.8,1
2025-01-22,balaghat,Balaghat Deep Shaft,6200,4796,44.2,85.9,92.4,87.6,22.5,1.5,0.0,1404,22.6,1
2025-01-23,balaghat,Balaghat Deep Shaft,6200,5037,43.7,85.1,89.7,90.5,23.3,0.7,0.0,1163,18.8,1
2025-01-24,balaghat,Balaghat Deep Shaft,6200,5413,45.0,88.2,92.6,92.1,22.7,1.3,0.0,787,12.7,1
2025-01-25,balaghat,Balaghat Deep Shaft,6200,5083,44.9,85.7,90.0,87.9,23.0,1.0,0.0,1117,18.0,1
2025-01-26,balaghat,Balaghat Deep Shaft,6200,4973,44.3,86.2,89.9,89.8,23.3,0.7,0.0,1227,19.8,1
2025-01-27,balaghat,Balaghat Deep Shaft,6200,5208,43.5,86.9,88.5,91.9,22.5,1.5,0.0,992,16.0,1
2025-01-28,balaghat,Balaghat Deep Shaft,6200,5223,43.7,85.7,87.0,94.4,22.5,1.5,0.0,977,15.8,1
2025-01-29,balaghat,Balaghat Deep Shaft,6200,5166,43.7,86.5,88.5,88.1,23.1,0.9,0.0,1034,16.7,1
2025-01-30,balaghat,Balaghat Deep Shaft,6200,5278,45.1,88.0,90.2,91.5,22.6,1.4,0.0,922,14.9,1
2025-01-31,balaghat,Balaghat Deep Shaft,6200,5315,44.1,85.1,89.1,91.6,23.2,0.8,0.0,885,14.3,1
2025-02-01,balaghat,Balaghat Deep Shaft,6200,5055,44.2,87.1,85.3,92.7,22.1,1.9,0.0,1145,18.5,1
2025-02-02,balaghat,Balaghat Deep Shaft,6200,4980,43.9,85.7,87.1,89.2,22.7,1.3,0.0,1220,19.7,1
2025-02-03,balaghat,Balaghat Deep Shaft,6200,5036,43.5,85.5,86.6,91.6,22.2,1.8,0.0,1164,18.8,1
2025-02-04,balaghat,Balaghat Deep Shaft,6200,5081,43.8,85.0,86.0,93.8,22.3,1.7,0.0,1119,18.0,1
2025-02-05,balaghat,Balaghat Deep Shaft,6200,5035,44.9,85.7,87.0,92.9,22.4,1.6,0.0,1165,18.8,1
2025-02-06,balaghat,Balaghat Deep Shaft,6200,5208,43.7,86.1,93.8,91.9,23.4,0.6,0.0,992,16.0,1
2025-02-07,balaghat,Balaghat Deep Shaft,6200,5070,44.9,86.1,92.9,90.3,23.3,0.7,0.0,1130,18.2,1
2025-02-08,balaghat,Balaghat Deep Shaft,6200,5375,45.3,85.7,87.9,97.5,22.5,1.5,0.0,825,13.3,1
2025-02-09,balaghat,Balaghat Deep Shaft,6200,5325,44.7,88.2,94.4,89.8,22.8,1.2,0.0,875,14.1,1
2025-02-10,balaghat,Balaghat Deep Shaft,6200,5230,45.2,87.8,95.4,89.6,23.2,0.8,0.0,970,15.6,1
2025-02-11,balaghat,Balaghat Deep Shaft,6200,4870,44.8,86.7,86.2,88.3,22.1,1.9,0.0,1330,21.5,1
2025-02-12,balaghat,Balaghat Deep Shaft,6200,4844,43.4,87.2,93.2,89.7,22.4,1.6,0.0,1356,21.9,1
2025-02-13,balaghat,Balaghat Deep Shaft,6200,5224,44.7,86.8,94.2,92.6,22.8,1.2,0.0,976,15.7,1
2025-02-14,balaghat,Balaghat Deep Shaft,6200,4836,43.4,87.4,89.1,86.5,22.6,1.4,0.0,1364,22.0,1
2025-02-15,balaghat,Balaghat Deep Shaft,6200,5379,44.2,87.8,92.4,94.4,22.5,1.5,0.0,821,13.2,1
2025-02-16,balaghat,Balaghat Deep Shaft,6200,5158,44.3,86.1,91.1,93.1,22.6,1.4,0.0,1042,16.8,1
2025-02-17,balaghat,Balaghat Deep Shaft,6200,3451,44.6,87.7,57.8,91.1,15.6,8.4,0.0,2749,44.3,1
2025-02-18,balaghat,Balaghat Deep Shaft,6200,5335,44.3,88.0,89.1,90.3,23.0,1.0,0.0,865,14.0,1
2025-02-19,balaghat,Balaghat Deep Shaft,6200,5214,43.8,85.6,87.1,92.4,22.6,1.4,0.0,986,15.9,1
2025-02-20,balaghat,Balaghat Deep Shaft,6200,5071,43.8,86.5,85.0,92.9,22.3,1.7,0.0,1129,18.2,1
2025-02-21,balaghat,Balaghat Deep Shaft,6200,5138,44.1,85.7,89.1,92.9,22.2,1.8,0.0,1062,17.1,1
2025-02-22,balaghat,Balaghat Deep Shaft,6200,4955,44.8,85.7,90.4,91.5,22.3,1.7,0.0,1245,20.1,1
2025-02-23,balaghat,Balaghat Deep Shaft,6200,4992,44.1,86.0,87.5,92.3,22.1,1.9,0.0,1208,19.5,1
2025-02-24,balaghat,Balaghat Deep Shaft,6200,5002,43.5,85.2,87.0,94.5,22.4,1.6,0.0,1198,19.3,1
2025-02-25,balaghat,Balaghat Deep Shaft,6200,5037,43.8,86.7,87.9,91.7,22.8,1.2,0.0,1163,18.8,1
2025-02-26,balaghat,Balaghat Deep Shaft,6200,5186,45.0,86.4,96.4,93.0,23.3,0.7,0.0,1014,16.4,1
2025-02-27,balaghat,Balaghat Deep Shaft,6200,5196,44.3,86.9,89.6,90.3,23.4,0.6,0.0,1004,16.2,1
2025-02-28,balaghat,Balaghat Deep Shaft,6200,5181,45.0,86.8,91.3,89.8,23.4,0.6,0.0,1019,16.4,1
2025-03-01,balaghat,Balaghat Deep Shaft,6200,5229,43.6,87.5,94.2,91.5,23.5,0.5,0.0,971,15.7,1
2025-03-02,balaghat,Balaghat Deep Shaft,6200,5249,44.7,87.2,86.5,94.7,22.6,1.4,0.0,951,15.3,1
2025-03-03,balaghat,Balaghat Deep Shaft,6200,5246,44.2,85.1,93.1,92.1,23.4,0.6,0.0,954,15.4,1
2025-03-04,balaghat,Balaghat Deep Shaft,6200,4857,45.3,86.0,89.5,90.4,22.6,1.4,0.0,1343,21.7,1
2025-03-05,balaghat,Balaghat Deep Shaft,6200,5307,39.5,83.8,94.7,97.0,23.1,0.9,0.0,893,14.4,1
2025-03-06,balaghat,Balaghat Deep Shaft,6200,4976,44.4,87.6,87.4,86.7,22.3,1.7,0.0,1224,19.7,1
2025-03-07,balaghat,Balaghat Deep Shaft,6200,4762,45.3,88.5,85.2,88.2,22.1,1.9,0.0,1438,23.2,1
2025-03-08,balaghat,Balaghat Deep Shaft,6200,5253,43.5,85.1,87.7,92.2,22.9,1.1,0.0,947,15.3,1
2025-03-09,balaghat,Balaghat Deep Shaft,6200,5163,43.8,85.3,90.6,87.5,23.4,0.6,0.0,1037,16.7,1
2025-03-10,balaghat,Balaghat Deep Shaft,6200,5238,44.4,87.4,85.3,95.3,22.1,1.9,0.0,962,15.5,1
2025-03-11,balaghat,Balaghat Deep Shaft,6200,5196,44.5,86.3,91.3,91.8,23.2,0.8,0.0,1004,16.2,1
2025-03-12,balaghat,Balaghat Deep Shaft,6200,5074,45.4,86.2,88.8,92.1,22.3,1.7,0.0,1126,18.2,1
2025-03-13,balaghat,Balaghat Deep Shaft,6200,5252,44.8,86.1,96.9,90.9,23.3,0.7,0.0,948,15.3,1
2025-03-14,balaghat,Balaghat Deep Shaft,6200,5184,44.0,86.1,95.1,90.4,23.5,0.5,0.0,1016,16.4,1
2025-03-15,balaghat,Balaghat Deep Shaft,6200,5171,44.6,87.1,88.3,90.8,22.7,1.3,0.0,1029,16.6,1
2025-03-16,balaghat,Balaghat Deep Shaft,6200,5152,44.7,85.4,92.6,91.5,23.1,0.9,0.0,1048,16.9,1
