date,mine_id,rainfall_mm,rainfall_7d_mm,rainfall_anomaly,water_risk_index,soil_saturation_index
2025-01-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-02,balaghat,1.1,1.1,-0.69,0.034,0.05
2025-01-03,balaghat,0.0,1.1,-1.0,0.03,0.05
2025-01-04,balaghat,0.0,1.1,-1.0,0.03,0.05
2025-01-05,balaghat,0.0,1.1,-1.0,0.03,0.05
2025-01-06,balaghat,0.0,1.1,-1.0,0.03,0.05
2025-01-07,balaghat,0.7,1.8,-0.81,0.033,0.05
2025-01-08,balaghat,0.0,1.8,-1.0,0.03,0.05
2025-01-09,balaghat,0.0,0.7,-1.0,0.03,0.05
2025-01-10,balaghat,1.4,2.1,-0.61,0.036,0.05
2025-01-11,balaghat,0.0,2.1,-1.0,0.03,0.05
2025-01-12,balaghat,0.0,2.1,-1.0,0.03,0.05
2025-01-13,balaghat,0.0,2.1,-1.0,0.03,0.05
2025-01-14,balaghat,0.0,1.4,-1.0,0.03,0.05
2025-01-15,balaghat,0.0,1.4,-1.0,0.03,0.05
2025-01-16,balaghat,0.0,1.4,-1.0,0.03,0.05
2025-01-17,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-18,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-19,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-20,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-21,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-22,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-23,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-24,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-25,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-29,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-30,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-01-31,balaghat,2.7,2.7,-0.25,0.041,0.05
2025-02-01,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-02,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-03,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-04,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-05,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-06,balaghat,0.0,2.7,-1.0,0.03,0.05
2025-02-07,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-02-08,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-02-09,balaghat,0.2,0.2,-0.94,0.031,0.05
2025-02-10,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-02-11,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-02-12,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-02-13,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-02-14,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-02-15,balaghat,1.2,1.4,-0.67,0.035,0.05
2025-02-16,balaghat,1.8,3.0,-0.5,0.037,0.05
2025-02-17,balaghat,0.0,3.0,-1.0,0.03,0.05
2025-02-18,balaghat,0.1,3.1,-0.97,0.03,0.05
2025-02-19,balaghat,0.0,3.1,-1.0,0.03,0.05
2025-02-20,balaghat,0.0,3.1,-1.0,0.03,0.05
2025-02-21,balaghat,0.0,3.1,-1.0,0.03,0.05
2025-02-22,balaghat,0.0,1.9,-1.0,0.03,0.05
2025-02-23,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-02-24,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-02-25,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-02-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-02-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-02-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-02,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-03,balaghat,1.2,1.2,-0.67,0.035,0.05
2025-03-04,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-05,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-06,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-07,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-08,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-09,balaghat,0.0,1.2,-1.0,0.03,0.05
2025-03-10,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-11,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-12,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-13,balaghat,0.8,0.8,-0.78,0.033,0.05
2025-03-14,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-15,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-16,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-17,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-18,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-19,balaghat,0.0,0.8,-1.0,0.03,0.05
2025-03-20,balaghat,0.5,0.5,-0.86,0.032,0.05
2025-03-21,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-22,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-23,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-24,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-25,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-26,balaghat,0.0,0.5,-1.0,0.03,0.05
2025-03-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-29,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-30,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-03-31,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-02,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-03,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-04,balaghat,0.2,0.2,-0.94,0.031,0.05
2025-04-05,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-06,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-07,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-08,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-09,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-10,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-04-11,balaghat,1.3,1.3,-0.64,0.035,0.05
2025-04-12,balaghat,0.0,1.3,-1.0,0.03,0.05
2025-04-13,balaghat,1.3,2.6,-0.64,0.035,0.05
2025-04-14,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-04-15,balaghat,0.6,3.2,-0.83,0.032,0.05
2025-04-16,balaghat,0.0,3.2,-1.0,0.03,0.05
2025-04-17,balaghat,0.3,3.5,-0.92,0.031,0.05
2025-04-18,balaghat,0.0,2.2,-1.0,0.03,0.05
2025-04-19,balaghat,0.0,2.2,-1.0,0.03,0.05
2025-04-20,balaghat,0.0,0.9,-1.0,0.03,0.05
2025-04-21,balaghat,0.0,0.9,-1.0,0.03,0.05
2025-04-22,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-04-23,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-04-24,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-25,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-04-28,balaghat,0.3,0.3,-0.92,0.031,0.05
2025-04-29,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-04-30,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-05-01,balaghat,0.0,0.3,-1.0,0.03,0.05
2025-05-02,balaghat,2.6,2.9,-0.28,0.04,0.05
2025-05-03,balaghat,0.0,2.9,-1.0,0.03,0.05
2025-05-04,balaghat,0.0,2.9,-1.0,0.03,0.05
2025-05-05,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-05-06,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-05-07,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-05-08,balaghat,0.0,2.6,-1.0,0.03,0.05
2025-05-09,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-10,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-11,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-12,balaghat,0.2,0.2,-0.94,0.031,0.05
2025-05-13,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-05-14,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-05-15,balaghat,0.2,0.4,-0.94,0.031,0.05
2025-05-16,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-05-17,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-05-18,balaghat,0.0,0.4,-1.0,0.03,0.05
2025-05-19,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-05-20,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-05-21,balaghat,0.0,0.2,-1.0,0.03,0.05
2025-05-22,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-23,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-24,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-25,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-26,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-27,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-28,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-29,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-30,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-05-31,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-01,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-02,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-03,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-04,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-05,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-06,balaghat,0.0,0.0,-1.0,0.03,0.05
2025-06-07,balaghat,0.1,0.1,-0.97,0.03,0.05
2025-06-08,balaghat,0.0,0.1,-1.0,0.03,0.05
2025-06-09,balaghat,4.7,4.8,-0.71,0.049,0.05
