sample_id,lat,lon,swir_band11,swir_band12,magnetic_susceptibility_nt,vein_depth_m,estimated_grade_mn,indicated_tonnes
SWIR-LOC-1000,21.797018,80.172751,0.665,0.676,82.2,165.7,42.88,1942184
SWIR-LOC-1001,21.665992,80.170553,0.533,0.805,40.1,195.3,38.35,1792617
SWIR-LOC-1002,21.71609,80.173355,0.583,0.667,46.6,210.9,36.91,1704494
SWIR-LOC-1003,21.734583,80.218996,0.408,0.369,88.5,155.9,38.78,1789915
SWIR-LOC-1004,21.808858,80.290045,0.343,0.58,7.5,260.5,33.17,1650185
SWIR-LOC-1005,21.664927,80.161153,0.878,0.501,100.4,100.3,45.33,2102637
SWIR-LOC-1006,21.666891,80.041653,0.248,0.238,166.5,284.0,38.87,1934796
SWIR-LOC-1007,21.925044,80.213199,0.456,0.244,110.6,220.7,40.09,1930358
SWIR-LOC-1008,21.813711,80.162045,0.825,0.674,11.6,47.7,42.85,1950538
SWIR-LOC-1009,21.744886,80.159378,0.304,0.308,20.5,90.1,36.81,1701430
SWIR-LOC-1010,21.695365,80.094024,0.81,0.597,48.3,84.2,41.75,2046789
SWIR-LOC-1011,21.764778,80.133445,0.423,0.281,122.5,190.9,40.06,1820980
SWIR-LOC-1012,21.812381,80.174598,0.279,0.847,116.6,96.2,39.6,1842094
SWIR-LOC-1013,21.759884,80.045867,0.63,0.254,38.9,310.1,38.12,1843678
SWIR-LOC-1014,21.858745,80.168677,0.739,0.641,27.7,173.1,39.94,1832300
SWIR-LOC-1015,21.832692,80.207055,0.659,0.644,71.9,264.7,40.38,1947959
SWIR-LOC-1016,21.721046,80.253123,0.734,0.713,71.9,238.7,42.84,2098962
SWIR-LOC-1017,21.680983,80.229987,0.676,0.731,-4.1,88.4,40.74,1973258
SWIR-LOC-1018,21.744779,80.076646,0.377,0.278,75.8,253.4,35.9,1732670
SWIR-LOC-1019,21.937772,80.125569,0.79,0.713,29.3,271.7,39.44,1813783
SWIR-LOC-1020,21.778545,80.319297,0.737,0.806,47.2,69.9,43.32,2137499
SWIR-LOC-1021,21.877829,80.229143,0.543,0.703,81.1,143.9,39.68,1903052
SWIR-LOC-1022,21.869701,80.265407,0.459,0.567,3.9,56.8,39.02,1797696
SWIR-LOC-1023,21.674017,80.269318,0.804,0.607,45.3,169.4,41.95,2005659
SWIR-LOC-1024,21.666859,80.28219,0.541,0.576,86.3,131.4,42.18,1955946
SWIR-LOC-1025,21.880438,80.141075,0.753,0.253,16.0,204.5,41.16,1975995
SWIR-LOC-1026,21.700273,80.123913,0.257,0.362,10.6,49.8,37.29,1745712
SWIR-LOC-1027,21.75845,80.243365,0.73,0.584,69.9,247.6,40.97,1931201
SWIR-LOC-1028,21.778484,80.177298,0.756,0.567,87.3,103.6,45.66,2099113
SWIR-LOC-1029,21.79939,80.24776,0.772,0.732,85.5,269.3,42.31,1951859
SWIR-LOC-1030,21.921642,80.220673,0.729,0.419,119.2,123.8,45.6,2232790
SWIR-LOC-1031,21.66214,80.217974,0.482,0.656,79.3,113.0,40.29,1851036
SWIR-LOC-1032,21.924772,80.230092,0.707,0.68,52.4,155.4,42.34,2037868
SWIR-LOC-1033,21.856203,80.174414,0.295,0.492,90.4,306.0,35.54,1701261
SWIR-LOC-1034,21.894556,80.320539,0.746,0.201,44.9,62.2,42.72,2065133
SWIR-LOC-1035,21.672965,80.185276,0.803,0.663,18.0,152.8,42.85,2048616
SWIR-LOC-1036,21.862419,80.158692,0.841,0.753,60.9,226.4,41.98,1965515
SWIR-LOC-1037,21.678413,80.167097,0.451,0.838,62.7,160.4,39.99,1900411
SWIR-LOC-1038,21.697435,80.076933,0.315,0.415,42.4,251.8,35.92,1789696
SWIR-LOC-1039,21.879666,80.254655,0.228,0.783,87.7,229.2,36.75,1717010
SWIR-LOC-1040,21.804795,80.097083,0.295,0.789,113.7,128.4,38.35,1762731
SWIR-LOC-1041,21.680274,80.16632,0.31,0.384,20.6,154.3,33.67,1637710
SWIR-LOC-1042,21.671876,80.251667,0.804,0.724,106.2,128.1,45.47,2205254
SWIR-LOC-1043,21.808302,80.178975,0.263,0.499,123.3,107.8,38.67,1764628
SWIR-LOC-1044,21.750149,80.077386,0.723,0.396,96.2,264.0,43.01,1952079
SWIR-LOC-1045,21.844448,80.105235,0.774,0.766,66.4,183.7,43.02,1952711
